IMPPDF_fine	3	48
   1	LATTICE	1.000000000000e+00	1.000000000000e+00	1.963500000000e-01	3.188300000000e-02	1.548550000000e-03	2.456000000000e-03	7.703164695919e+00	2.108000000000e-03	6.611673932817e+00	0.000000000000e+00	0.000000000000e+00	
   2	LATTICE	2.000000000000e+00	1.000000000000e+00	3.926990000000e-01	6.662900000000e-02	3.273670000000e-03	5.052000000000e-03	7.582283990455e+00	4.287000000000e-03	6.434135286437e+00	6.289000000000e-05	9.438832940611e-02	
   3	LATTICE	3.000000000000e+00	1.000000000000e+00	5.890490000000e-01	1.043790000000e-01	5.192180000000e-03	7.539000000000e-03	7.222717213233e+00	6.280000000000e-03	6.016535893235e+00	1.080460000000e-02	1.035131587771e+01	
   4	LATTICE	4.000000000000e+00	1.000000000000e+00	7.853980000000e-01	1.448250000000e-01	7.230040000000e-03	1.018500000000e-02	7.032625582600e+00	8.258000000000e-03	5.702054203349e+00	6.393760000000e-02	4.414817883653e+01	
   5	LATTICE	5.000000000000e+00	1.000000000000e+00	9.817480000000e-01	1.868320000000e-01	9.649270000000e-03	1.286900000000e-02	6.888006337244e+00	1.007600000000e-02	5.393080414490e+00	7.610640000000e-02	4.073520596044e+01	
   6	LATTICE	6.000000000000e+00	1.000000000000e+00	1.178100000000e+00	2.295950000000e-01	1.288410000000e-02	1.545700000000e-02	6.732289466234e+00	1.162200000000e-02	5.061956924149e+00	9.238300000000e-02	4.023737450728e+01	
   7	LATTICE	7.000000000000e+00	1.000000000000e+00	1.374450000000e+00	2.698540000000e-01	1.814630000000e-02	1.822200000000e-02	6.752540262512e+00	1.302800000000e-02	4.827795771047e+00	0.000000000000e+00	0.000000000000e+00	
   8	LATTICE	8.000000000000e+00	1.000000000000e+00	1.570800000000e+00	3.041500000000e-01	2.865540000000e-02	2.102500000000e-02	6.912707545619e+00	1.418200000000e-02	4.662830840046e+00	1.077770000000e-01	3.543547591649e+01	
   9	LATTICE	1.000000000000e+00	2.000000000000e+00	3.926990000000e-01	5.885700000000e-02	8.132360000000e-03	5.052000000000e-03	8.583515979408e+00	4.287000000000e-03	7.283755543096e+00	0.000000000000e+00	0.000000000000e+00	
  10	LATTICE	2.000000000000e+00	2.000000000000e+00	7.853980000000e-01	1.228190000000e-01	1.588780000000e-02	1.018500000000e-02	8.292690870305e+00	8.258000000000e-03	6.723715386056e+00	7.062430000000e-02	5.750274794616e+01	
  11	LATTICE	3.000000000000e+00	2.000000000000e+00	1.178100000000e+00	1.916030000000e-01	2.293190000000e-02	1.545700000000e-02	8.067201453004e+00	1.162200000000e-02	6.065667030266e+00	1.082540000000e-01	5.649911535832e+01	
  12	LATTICE	4.000000000000e+00	2.000000000000e+00	1.570800000000e+00	2.621310000000e-01	3.000880000000e-02	2.102500000000e-02	8.020798760925e+00	1.418200000000e-02	5.410271963255e+00	1.218530000000e-01	4.648553585803e+01	
  13	LATTICE	5.000000000000e+00	2.000000000000e+00	1.963490000000e+00	3.272830000000e-01	3.954530000000e-02	2.657200000000e-02	8.118967376857e+00	1.563100000000e-02	4.775988975902e+00	1.560440000000e-01	4.767861453238e+01	
  14	LATTICE	6.000000000000e+00	2.000000000000e+00	2.356190000000e+00	4.021220000000e-01	5.663560000000e-02	3.214300000000e-02	7.993345303167e+00	1.597000000000e-02	3.971431555598e+00	1.208470000000e-01	3.005232242951e+01	
  15	LATTICE	7.000000000000e+00	2.000000000000e+00	2.748890000000e+00	4.739630000000e-01	7.076540000000e-02	3.761200000000e-02	7.935640545781e+00	1.523600000000e-02	3.214596920013e+00	0.000000000000e+00	0.000000000000e+00	
  16	LATTICE	8.000000000000e+00	2.000000000000e+00	3.141590000000e+00	5.015640000000e-01	9.300540000000e-02	4.298400000000e-02	8.569993061703e+00	1.354300000000e-02	2.700153918543e+00	1.097380000000e-01	2.187916198132e+01	
  17	LATTICE	1.000000000000e+00	3.000000000000e+00	5.890490000000e-01	9.673100000000e-02	2.152850000000e-02	7.539000000000e-03	7.793778623192e+00	6.280000000000e-03	6.492231032451e+00	0.000000000000e+00	0.000000000000e+00	
  18	LATTICE	2.000000000000e+00	3.000000000000e+00	1.178100000000e+00	1.975970000000e-01	4.165310000000e-02	1.545700000000e-02	7.822487183510e+00	1.162200000000e-02	5.881668243951e+00	8.932000000000e-02	4.520311543191e+01	
  19	LATTICE	3.000000000000e+00	3.000000000000e+00	1.767150000000e+00	3.223520000000e-01	3.180970000000e-02	2.371800000000e-02	7.357795205241e+00	1.502500000000e-02	4.661053754901e+00	0.000000000000e+00	0.000000000000e+00	
